skill_id,subject,grade_band,grade_or_course,strand,skill_name,standard_code,prerequisites,teach_text,worked_example,status,q1_prompt,q1_choices,q1_answer,q1_diff,q1_hint,q2_prompt,q2_choices,q2_answer,q2_diff,q2_hint,q3_prompt,q3_choices,q3_answer,q3_diff,q3_hint,q4_prompt,q4_choices,q4_answer,q4_diff,q4_hint
read-k-pa-1,Reading,K-2,K,Phonological awareness,Hear the first sound in a spoken word,ELA.K.F.1.1,,Listen for the sound that starts the word. Say the word slowly and tap the first sound.,Word: sun. First sound: /s/.,published,What is the first sound in "map"?,/m/|/a/|/p/,/m/,1,Say map slowly. What do your lips do first?,What is the first sound in "top"?,/t/|/o/|/p/,/t/,2,The first sound is the one you hear before the middle vowel.,What is the first sound in "ship"?,/sh/|/i/|/p/,/sh/,3,Ship starts with two letters that make one sound.,Which word starts with the same sound as "fan"?,sun|van|mop,van,4,Listen for /f/. Which other word has that starting sound?
read-k-pa-2,Reading,K-2,K,Phonological awareness,Blend two sounds into a word,ELA.K.F.1.2,read-k-pa-1,Put the sounds together without a pause. /c/ + /at/ becomes cat.,Sounds: /s/ /u/ /n/ → sun,published,Blend /m/ /e/.,me|am|em,me,1,Say the first sound then slide into the second.,Blend /g/ /o/.,og|go|ag,go,2,Keep the /g/ short then say /o/.,Blend /sh/ /oe/.,show|osh|shoe,show,3,The first sound is /sh/ like in ship.,Blend /s/ /t/ /ar/.,rats|star|tars,star,4,Three sounds. Start with /s/ then /t/.
read-k-ph-1,Reading,K-2,K,Phonics & decoding,Match letter to its common sound,ELA.K.F.2.1,,Each letter has a name and a sound. We use the sound when we read.,Letter m says /m/ like moon.,published,What sound does the letter s usually make?,/s/|/m/|/t/,/s/,1,Think of sun or snake.,What sound does the letter b usually make?,/d/|/b/|/p/,/b/,2,Your lips come together then pop open.,Which letter makes the /k/ sound in cat?,c|s|m,c,3,Cat starts with the letter that can say /k/.,Which letter does NOT usually say /n/?,n|m|kn as in know wait — pick m,n|m|s,m,4,Say each letter sound. Which one is not /n/?
read-k-ph-2,Reading,K-2,K,Phonics & decoding,Read CVC short-a words,ELA.K.F.2.2,read-k-ph-1,Short a sounds like /a/ in apple. Blend the three sounds.,c-a-t → cat,published,What word is m-a-t?,mat|met|mad,mat,1,The middle letter is a. It says /a/.,What word is s-a-t?,sit|sat|set,sat,2,Keep the short a in the middle.,Which word has the same middle sound as cap?,cup|cop|map,map,3,Short a is the sound in apple.,Read this word: plan. Wait — which is a short-a CVC word?,plan|pan|pain,pan,4,CVC means consonant-vowel-consonant. Three letters.
read-1-ph-1,Reading,K-2,1,Phonics & decoding,Read words with silent e (a_e),ELA.1.F.1.3,read-k-ph-2,When a word has a vowel plus a consonant plus silent e the first vowel often says its name.,cape = /k/ /ā/ /p/. The e is quiet.,published,What does cap become if you add e?,cape|cap|cope,cape,1,Silent e can make a say its name.,Which word has a long a?,hat|hate|hit,hate,2,Look for the silent e at the end.,Read: tape. What is the vowel sound?,short a|long a|short e,long a,3,The e at the end is silent and the a says its name.,Which pair shows the silent-e change?,mad / made|sit / sat|hop / hip,mad / made,4,Only one pair adds silent e and changes the vowel.
read-1-sw-1,Reading,K-2,1,Sight words,Read common grade-1 sight words,ELA.1.F.1.4,,Sight words are words we see so often we read them in one look.,the said you they,published,Which word is "said"?,sad|said|sand,said,1,It looks a little like sad but has i in the middle.,Which sentence uses a sight word correctly?,They is running.|They are running.|Them are running.,They are running.,2,They needs the verb are.,Find the sight word: We went to the park.,park|went|the,the,3,The is a small high-frequency word.,Which is NOT a sight word you memorize as a picture?,the|said|cat,cat,4,Cat you can sound out. Sight words often break the usual rules.
read-1-fl-1,Reading,K-2,1,Fluency,Read a short sentence smoothly,ELA.1.F.1.5,read-1-sw-1,Fluency means reading like talking — not one choppy word at a time.,The cat sat. → said as one thought not The. Cat. Sat.,published,Which reading is smoother?,The. dog. ran.|The dog ran.|THE DOG RAN,The dog ran.,1,Smooth reading groups words together.,What should you do at a period?,keep going|stop and take a breath|speed up,stop and take a breath,2,A period is a full stop.,Which mark tells you a sentence is a question?,.|!|?,?,3,A question mark means your voice should go up.,To read fluently you should,guess every word|reread a sentence that sounded choppy|skip hard words,reread a sentence that sounded choppy,4,Rereading is how fluency grows.
read-1-vo-1,Reading,K-2,1,Vocabulary,Use context to guess a new word,ELA.1.V.1.1,,The other words in the sentence give clues.,The pup was tiny. Tiny means very small.,published,The soup was scalding so we waited. Scalding means,cold|very hot|sweet,very hot,1,You wait when something might burn.,Maya was exhausted after the long hike. Exhausted means,sleepy and worn out|hungry|lost,sleepy and worn out,2,A long hike makes your body tired.,Which clue word helps most in: The cavern was dark and damp.,was|dark|and,dark,3,Dark and damp describe the cavern.,The kitten was timid and hid. Timid means,brave|shy|loud,shy,4,Hiding is a clue that timid is not brave.
read-2-lc-1,Reading,K-2,2,Listening & reading comprehension,Retell the beginning middle and end,ELA.2.R.2.1,read-1-fl-1,"Stories have a start, a middle problem or event, and an ending.",Goldilocks goes in → tries the bowls → runs home,published,A story beginning usually,solves the problem|introduces who and where|lists vocabulary,introduces who and where,1,The start tells us who the story is about.,The middle of a story often has,the title|a problem or important event|the author's name,a problem or important event,2,Something happens in the middle.,After you read you should be able to,retell what happened in order|name every adjective|skip the ending,retell what happened in order,3,Order means beginning then middle then end.,Which is an ending?,Once there was a fox.|The fox found a lock.|The fox opened the gate and walked free.,The fox opened the gate and walked free.,4,An ending wraps up the problem.
read-2-lc-2,Reading,K-2,2,Listening & reading comprehension,Name the main idea of a short paragraph,ELA.2.R.2.2,read-2-lc-1,The main idea is what the whole paragraph is mostly about. Details support it.,Paragraph about bees making honey → main idea: bees make honey.,published,"Bees fly from flower to flower. They collect nectar. Then they make honey. Main idea?",Bees have wings.|Bees make honey.|Flowers are yellow.,Bees make honey.,1,Ask: what is the whole paragraph about?,A detail is,the big idea|a small fact that supports the idea|the title only,a small fact that supports the idea,2,Details prove or explain the main idea.,Which sentence is a detail not a main idea?,Owls are nighttime hunters.|An owl can turn its head far around.|Owls hunt at night and have special bodies for it.,An owl can turn its head far around.,3,One body fact is a detail.,Main idea should cover,one tiny fact|most of the sentences|only the first word,most of the sentences,4,If most sentences fit it you have the main idea.
